"lncRNAs","GNCoding","Genes","GPCoding","miRNAs"
"ENSG00000130600","H19","ENSG00000134504","KCTD1","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000048707","VPS13D","hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p"
"ENSG00000130600","H19","ENSG00000070087","PFN2","hsa-miR-138-5p"
"ENSG00000130600","H19","ENSG00000167600","CYP2S1","hsa-miR-107,hsa-miR-103a-3p"
"ENSG00000130600","H19","ENSG00000101057","MYBL2","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000183688","RFLNB","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000105976","MET","hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p"
"ENSG00000130600","H19","ENSG00000099284","MACROH2A2","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000157514","TSC22D3","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000152409","JMY","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-4295,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p,hsa-miR-3666,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000102755","FLT1","hsa-miR-370-3p"
"ENSG00000130600","H19","ENSG00000167106","FAM102A","hsa-miR-370-3p"
"ENSG00000130600","H19","ENSG00000069702","TGFBR3","hsa-miR-107,hsa-miR-103a-3p"
"ENSG00000130600","H19","ENSG00000139597","N4BP2L1","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000124107","SLPI","hsa-miR-370-3p"
"ENSG00000130600","H19","ENSG00000167702","KIFC2","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000074696","HACD3","hsa-miR-107,hsa-miR-103a-3p"
"ENSG00000130600","H19","ENSG00000173926","MARCHF3","hsa-miR-107,hsa-miR-103a-3p"
"ENSG00000130600","H19","ENSG00000088179","PTPN4","hsa-miR-107,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-103a-3p,hsa-miR-130b-3p"
"ENSG00000130600","H19","ENSG00000117394","SLC2A1","hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p"
"ENSG00000130600","H19","ENSG00000187840","EIF4EBP1","hsa-miR-138-5p"
"ENSG00000130600","H19","ENSG00000170775","GPR37","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000113140","SPARC","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000148842","CNNM2","hsa-miR-107,hsa-miR-103a-3p"
"ENSG00000130600","H19","ENSG00000007968","E2F2","hsa-miR-4295,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p,hsa-miR-3666"
"ENSG00000130600","H19","ENSG00000044524","EPHA3","hsa-miR-107,hsa-miR-103a-3p"
"ENSG00000130600","H19","ENSG00000115657","ABCB6","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000112182","BACH2","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-107,hsa-miR-4295,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-103a-3p,hsa-miR-130b-3p,hsa-miR-3666,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000173548","SNX33","hsa-miR-138-5p"
"ENSG00000130600","H19","ENSG00000143028","SYPL2","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000113161","HMGCR","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000122884","P4HA1","hsa-miR-370-3p"
"ENSG00000130600","H19","ENSG00000156535","CD109","hsa-miR-138-5p"
"ENSG00000130600","H19","ENSG00000087303","NID2","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000115232","ITGA4","hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p"
"ENSG00000130600","H19","ENSG00000146067","FAM193B","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000196123","KIAA0895L","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000013588","GPRC5A","hsa-miR-130b-3p"
"ENSG00000130600","H19","ENSG00000161638","ITGA5","hsa-miR-107,hsa-miR-103a-3p"
"ENSG00000130600","H19","ENSG00000175305","CCNE2","hsa-miR-370-3p"
"ENSG00000130600","H19","ENSG00000006062","MAP3K14","hsa-miR-4295,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p,hsa-miR-3666"
"ENSG00000130600","H19","ENSG00000106070","GRB10","hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p"
"ENSG00000130600","H19","ENSG00000163430","FSTL1","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000213983","AP1G2","hsa-miR-370-3p"
"ENSG00000130600","H19","ENSG00000152256","PDK1","hsa-miR-130a-3p,hsa-miR-138-5p,hsa-miR-454-3p,hsa-miR-130b-3p"
"ENSG00000130600","H19","ENSG00000165895","ARHGAP42","hsa-miR-138-5p"
"ENSG00000130600","H19","ENSG00000038427","VCAN","hsa-miR-107,hsa-miR-103a-3p"
"ENSG00000130600","H19","ENSG00000118503","TNFAIP3","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-107,hsa-miR-103a-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000168646","AXIN2","hsa-miR-107,hsa-miR-103a-3p"
"ENSG00000130600","H19","ENSG00000151835","SACS","hsa-miR-107,hsa-miR-103a-3p"
"ENSG00000130600","H19","ENSG00000183496","MEX3B","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000112715","VEGFA","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000167615","LENG8","hsa-miR-138-5p"
"ENSG00000130600","H19","ENSG00000059804","SLC2A3","hsa-miR-107,hsa-miR-103a-3p"
"ENSG00000130600","H19","ENSG00000133466","C1QTNF6","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000108821","COL1A1","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-107,hsa-miR-103a-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000167703","SLC43A2","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000073792","IGF2BP2","hsa-miR-138-5p"
"ENSG00000130600","H19","ENSG00000168743","NPNT","hsa-miR-4295,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p,hsa-miR-3666"
"ENSG00000130600","H19","ENSG00000187741","FANCA","hsa-miR-138-5p"
"ENSG00000130600","H19","ENSG00000117385","P3H1","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000113742","CPEB4","hsa-miR-4295,hsa-miR-130a-3p,hsa-miR-138-5p,hsa-miR-454-3p,hsa-miR-130b-3p,hsa-miR-3666"
"ENSG00000130600","H19","ENSG00000130508","PXDN","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000151623","NR3C2","hsa-miR-4295,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p,hsa-miR-3666"
"ENSG00000130600","H19","ENSG00000107438","PDLIM1","hsa-miR-138-5p"
"ENSG00000130600","H19","ENSG00000076641","PAG1","hsa-miR-107,hsa-miR-103a-3p"
"ENSG00000130600","H19","ENSG00000188042","ARL4C","hsa-miR-138-5p"
"ENSG00000130600","H19","ENSG00000196177","ACADSB","hsa-miR-130b-3p"
"ENSG00000130600","H19","ENSG00000020633","RUNX3","hsa-miR-4295,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p,hsa-miR-3666"
